predicted_message_type,message_type,sms_sender,message
ACTIVATE,INFO,BZ-SBIINB,"Dear Customer, You added a third party on 25-03-2021 12:14:02 PM. If not done by you , please Lock User Access (link on Login Page) to your internet banking immediately. -SBI"
ACTIVATE,REQUEST,AX-UNIONB,"Dear Customer, Payee For Formula   has been added successfully and will be activated after 1mins, Reference ID 107117149874. You can initiate fund transfer once payee is activated."
ACTIVATE,REQUEST,AX-HDFCBK,Congratulations! You have been successfully registered.
ACTIVATE,INFO,BX-SBIINB,"Dear Customer, You added a third party on 06-06-2021 5:55:50 AM. If not done by you , please Lock User Access (link on Login Page) to your internet banking immediately. -SBI"
ACTIVATE,INFO,BZ-SBIINB,"Dear Customer, You added a third party on 02-06-2021 11:07:25 PM. If not done by you , please Lock User Access (link on Login Page) to your internet banking immediately. -SBI"
ACTIVATE,INFO,BV-SBIINB,"Dear Customer, You added a third party on 06-06-2021 11:18:06 AM. If not done by you , please Lock User Access (link on Login Page) to your internet banking immediately. -SBI"
ACTIVATE,INFO,BP-SBIINB,"Dear Customer, You added a third party on 18-05-2021 1:57:50 AM. If not done by you , please Lock User Access (link on Login Page) to your internet banking immediately. -SBI"
ACTIVATE,INFO,BZ-SBIINB,"Dear Customer, You added a third party on 06-06-2021 1:21:38 PM. If not done by you , please Lock User Access (link on Login Page) to your internet banking immediately. -SBI"
ACTIVATE,INFO,BX-SBIINB,"Dear Customer, You added a third party on 06-06-2021 10:54:07 AM. If not done by you , please Lock User Access (link on Login Page) to your internet banking immediately. -SBI"
ACTIVATE,INFO,BP-SBIINB,"Dear Customer, You added a third party on 04-06-2021 5:10:03 PM. If not done by you , please Lock User Access (link on Login Page) to your internet banking immediately. -SBI"
ACTIVATE,INFO,BZ-SBIINB,"Dear Customer, You added a third party on 06-06-2021 12:41:23 PM. If not done by you , please Lock User Access (link on Login Page) to your internet banking immediately. -SBI"
ACTIVATE,INFO,AX-SBIINB,"Dear Customer, You added a third party on 31-03-2021 12:46:05 PM. If not done by you , please Lock User Access (link on Login Page) to your internet banking immediately. -SBI"
RECEIVE,RECEIVE,JK-CANBNK,"An amount of INR 4,000.00 has been CREDITED to your account XXXX0850 on 05/05/2021.Total Avail.bal INR 3,54,605.17.- Canara Bank"
RECEIVE,RECEIVE,BP-iPaytm,"Settlement: Congratulations, the bank transfer of Rs 400.00 to your bank a/c **2847,which was initiated on 15 AUG has been credited, with ref 022837871267. View settlement details by visiting pytm.biz/Settlement"
RECEIVE,RECEIVE,JK-CANBNK,"An amount of INR 300.00 has been CREDITED to  your account XXXX3585 on 26/12/2020. Total Avail.bal INR 1,580.68."
RECEIVE,INFO,AX-AxisBk,Refund of INR 590 initiated for order ID LEdT5Cb3eswPz0ey against your Savings A/c application. Amount will be credited to account within 3-7 working days.
RECEIVE,RECEIVE,AD-PNBSMS,"Ac XXXXXXXX00002632 Credited with Rs.26000.00,06-06-2021 13:35:56 thru NEFT from VINAYAK ASSOCIATES. Aval Bal 68565.02 CR Helpline 18001802222"
RECEIVE,RECEIVE,BP-PNBSMS,"Your PNB AC XX7702 is credited by Rs 539.0 on 23-12-2020 11:53:51 by UPI: SANDEEP KU/PUNB.Clear AC Bal Rs 3517.86. Register for e-statement, if not done"
RECEIVE,RECEIVE,AX-CANBNK,An amount of INR 350.00 has been CREDITED to  your account XXXXX80613 on 06/03/2021. Total Avail.bal INR 362.16.- Canara Bank
RECEIVE,RECEIVE,AX-BOIIND,BOI -  Rs 2.03 Credited(TRF)036386713346/2020-12-28/UPI/TC in your Ac XX2021 on 29-12-2020. .Avl Bal Rs 1289.78.
RECEIVE,RECEIVE,AD-PNBSMS,"Ac XXXXXXXX00959940 Credited with Rs.36.00,06-06-2021 08:35:33 thru NEFT from CASHFREE PAYMENTS INDIA PRIVAT. Aval Bal 111189.83 CR Helpline 18001802222"
RECEIVE,RECEIVE,BZ-CBSSBI,"Your A/C XXXXX805906 Credited INR 13,700.00 on 06/06/21 -Deposit by transfer from SAVE SOLUTIONS PVT L. Avl Bal INR 17,156.61-SBI"
RECEIVE,REQUEST,VM-ICICIB,"Dear Customer,your request for Mobile number updation has been registered vide SR699432284 on 18-SEP-20. It will be completed within 3 working days."
RECEIVE,RECEIVE,VM-CANBNK,Your a/c no. XXXXXXXXX2176 has been credited with Rs.95.00 on 4/3/21 9:29 PM from a/c no. XXXXXXXXXXX6542 (UPI Ref no 106321859909)
RECEIVE,RECEIVE,AX-CANBNK,"An amount of INR 442.00 has been CREDITED to  your account XXXX3752 on 03/02/2021. Total Avail.bal INR 11,106.04."
RECEIVE,DEPOSIT,AD-BOBTXN,"Rs.1500 Credited to A/c ...5097 AT ATM TID-1CRMPIN02/,ref-000000009476. Total Bal:Rs.1700.99CR. Avlbl Amt:Rs.1700.99(21-04-2021 21:32:01) - Bank of Baroda"
RECEIVE,,AD-BOIIND,बीओआई – आपके खाता XX2719 से रु.  120 दिनांक 17-12-20 को पीओएस  लेन-देन-VIKAS MARATHA हेतु डेबिट किए गए। उपलब्‍ध शेष राशि रु.  250.58.
RECEIVE,DEPOSIT,VM-CANBNK,Rs INR 500.00 has been credited to your account XXXX0744 on 28/04/2021 towards CASH-BNA-791 0791BH01- 28/04/21 14:37:30. Total Avail.bal INR 506.43 - Canara Bank
RECEIVE,RECEIVE,BP-BOBTXN,Rs.2998 Credited to A/c ...5214 thru NEFT UTR N156211524399647 by YASHIKA FACILIT. Total Bal:Rs.3319.9CR. Avlbl Amt:Rs.3319.9(05-06-2021 18:07:22) - Bank of Baroda
RECEIVE,RECEIVE,VK-CANBNK,An amount of INR 500.00 has been CREDITED to your account XXXX1981 on 06/06/2021.Total Avail.bal INR 609.86.- Canara Bank
RECEIVE,RECEIVE,QP-CANBNK,"Your A/c XX5731 is credited with INR 13,000.00 on 07-09-2020 05:54:52 by TRFR. Avl Bal INR 5,73,021.82 ."
RECEIVE,RECEIVE,VD-PNBSMS,"Ac XXXXXXXX02027467 Credited with Rs.5100.00,23-02-2021 14:04:35 thru NEFT from EMPLOYEE PROVIDENT FUND ORGANI. Aval Bal 5156.38 CR Helpline 18001802222"
DEPOSIT,DEPOSIT,AD-CANBNK,"Outward Clearing cheque No 000000147445 for Rs 1,00,000.00 realized and available balance in your account No. XXXXXXXXX3925 is  Rs 1,00,295.20."
DEPOSIT,DECLINE,VK-HDFCBK,"UPDATE: Cheque No. 305717 for INR 45,000.00 deposited by you in A/c XX7152 has returned unpaid due to CHQ DEP RET- CONNECTIVITY NOT ESTABLISHE"
DEPOSIT,DEPOSIT,BT-HDFCBK,INR 24.71 deposited to A/C No XXXXXXXXXX3984 towards APB subsidy- Val 24-Aug-20.
DEPOSIT,REQUEST,VK-ICICIB,"Dear Customer, Reference KCWA00016349871 for Cash withdrawal of Rs 200000 from Account 169401000434 is initiated through ICICI Bank INSTA Banking. Please quote this reference number to the Cash Teller."
DEPOSIT,REQUEST,AX-ICICIB,"Dear Customer, Reference KCWA00015539579 for Cash withdrawal of Rs 400000 from Account 004105016970 is initiated through ICICI Bank INSTA Banking. Please quote this reference number to the Cash Teller."
DEPOSIT,DEPOSIT,AX-HDFCBK,INR 40.26 deposited to HDFC Bank A/C No XXXXXXXXXX5074 towards DBL subsidy- Val 05-Jun-21.
DEPOSIT,REQUEST,AX-ICICIB,"Dear Customer, Reference MCWA00016018042 for Cash withdrawal of Rs 13000 from Account 023801511775 is initiated through ICICI Bank INSTA Banking. Please quote this reference number to the Cash Teller."
DEPOSIT,REQUEST,VM-ICICIB,"Dear Customer, Reference MCWA00016027323 for Cash withdrawal of Rs 99800 from Account 109901002286 is initiated through ICICI Bank INSTA Banking. Please quote this reference number to the Cash Teller."
DEPOSIT,REQUEST,VM-ICICIB,"Dear Customer, Reference KCWA00016347587 for Cash withdrawal of Rs 395000 from Account 025201544008 is initiated through ICICI Bank INSTA Banking. Please quote this reference number to the Cash Teller."
DEPOSIT,CASH CREDIT FAILURE,BP-PAYTMB,Failed to deposit Rs 5000.0 to your wallet linked with mobile no 9610404064. Please collect the deposited amount from the agent. Queries? Call-01204456456 :PPBL 
DEPOSIT,ACTIVATE,AXICICIB,"Dear Customer, your ICICI BANK Deposit Acct XX3157 for Rs.20000.00 has been opened on 21-May-21. The deposit advice will be updated on Net Banking within 1 wkg day."
DEPOSIT,INFO,JD-ICICIB,Thank you for using Positive Pay feature on ICICI Bank iMobile. Cheque 000960 will be honoured as per details submitted & subject to clearing guidelines.
DEPOSIT,REQUEST,VK-HDFCBK,"INR 5,862.32 subject to clearing"
DEPOSIT,ACTIVATE,AX-HDFCBK,"Dear Customer,Your SmartPay request on HDFC Bank Credit Card ending 0321 will be activated, subject to Biller acceptance from 01st FEB 21 FOR CESCOM # 0657297362"
DEPOSIT,ACTIVATE,AD-HDFCBK,"Dear Customer,Your SmartPay request on HDFC Bank Credit Card ending 0321 will be activated, subject to Biller acceptance from 01st FEB 21 FOR CESCOM # 0312645854"
DEPOSIT,DEPOSIT,VM-BOBTXN,Rs.30000 deposited in cash to A/c ...8732 on 11-12-20 12:38:44 (Avlbl Bal Rs.33084.03). TollFree 18002584455 18001024455 (24X7) - Bank of Baroda
DEPOSIT,ACTIVATE,QP-ICICIB,"Dear Customer, your ICICI BANK Deposit Acct XX0496 for Rs.500.00 has been opened on 05-Jun-21. The deposit advice will be updated on Net Banking within 1 wkg day."
DEPOSIT,REQUEST,BP-HDFCBK,":INR 9,422.42 subject to clearing"
DEPOSIT,DEPOSIT,AX-BOBTXN,Rs.49000 deposited in cash to A/c ...8797. Total Bal:Rs.-139124.5DR. Avlbl Amt:Rs.50875.5(23-03-2021 15:26:05) - Bank of Baroda
DEPOSIT,CASH CREDIT FAILURE,BP-PAYTMB,Failed to deposit Rs 5000.0 to your wallet linked with mobile no 7549741668. Please collect the deposited amount from the agent. Queries? Call-01204456456 :PPBL 
ORDER,REQUEST,AX-AxisBk,"Attn: In accordance with the requirements of RBI guideline on COVID-19 Regulatory Package, your request for deferment of loan dues for Personal Loan A/c XXXX1374 has been processed. For details visit https://bit.ly/3eBgyJi"
ORDER,INFO/PROMO,BP-AXISBK,Please attend the Conciliation Camp on 28/11/2020 at Aarambagh Branch from 10am to 4 pm for final settlement/normalization of your Loan A/c / Credit Card no. 53056XXXXX89303
ORDER,INFO/PROMO,BP-AXISBK,Please attend the Conciliation Camp on 28/11/2020 at Aarambagh Branch from 10am to 4 pm for final settlement/normalization of your Loan A/c / Credit Card no. 53056XXXXX89303
ORDER,REQUEST,VKAxisBk,"Attn: In accordance with the requirements of RBI guideline on COVID-19 Regulatory Package, your request for deferment of loan dues for Personal Loan A/c XXXX9499 has been processed. For details visit https://bit.ly/3eBgyJi"
ORDER,REQUEST,AX-AxisBk,"Attn: In accordance with the requirements of RBI guideline on COVID-19 Regulatory Package, your request for deferment of loan dues for Personal Loan A/c XXXX8744 has been processed. For details visit https://bit.ly/3eBgyJi"
ORDER,INFO/PROMO,BP-AXISBK,Please attend the Conciliation Camp on 11/28/2020 12:00:00 AM at Aarambagh Branch from 10am to 4 pm for final settlement/normalization of your Loan A/c / Credit Card no.53056XXXXX89303
ORDER,INFO/PROMO,BP-AXISBK,Please attend the Conciliation Camp on 11/28/2020 12:00:00 AM at Aarambagh Branch from 10am to 4 pm for final settlement/normalization of your Loan A/c / Credit Card no.53056XXXXX89303
ORDER,REQUEST,BW-AxisBk,"Attn: In accordance with the requirements of RBI guideline on COVID-19 Regulatory Package, your request for deferment of loan dues for Personal Loan A/c XXXX5055 has been processed. For details visit https://bit.ly/3eBgyJi"
ORDER,REQUEST,VM-AxisBk,"Attn: In accordance with the requirements of RBI guideline on COVID-19 Regulatory Package, your request for deferment of loan dues for Personal Loan A/c XXXX8735 has been processed. For details visit https://bit.ly/3eBgyJi"
ORDER,INFO/PROMO,BP-AXISBK,Please attend the Conciliation Camp on 28/11/2020 at Aarambagh Branch from 10am to 4 pm for final settlement/normalization of your Loan A/c / Credit Card no.53056XXXXX89303
ORDER,INFO/PROMO,BP-AXISBK,Please attend the Conciliation Camp on 11/28/2020 12:00:00 AM at Aarambagh Branch from 10am to 4 pm for final settlement/normalization of your <Loan A/c / Credit Card no. 53056XXXXX89303
REPAY,REQUEST,VK-AxisBk,Your credit card transaction of Rs.3664 has been successfully converted into EMI
REPAY,DECLINE,JK-SBGMBS,"Dear SBI Customer, UPI fund tr to a/c xxxxxxxxxxx250  for Rs.1 on 05-06-2021 was unsuccessful. TID : SBA00000012898193."
REPAY,REPAY,QP-HDFCBK,Your HDFC Bank Visa Foodplus Card Card ending with XXXX8972 has been reloaded with INR 3020.46 on 10-FEB-21 04:02 PM. Post Reload Card Bal is INR 3020.46. Not you? Call 18002586161.
REPAY,PAY,AX-CANBNK,"Hey, Recharge of Airtel  MOBILE  9578286146  for Rs.399.0 was successful. Payment Reference no N-UQG3Z23-WXWBSZJ-WO4LMXX."
REPAY,PAY,BP-iPaytm,Your Rent Payment of Rs 2500 has been successfully transferred via paytm to your Recipient's account.
REPAY,ACTIVATE,AD-HDFCBK,"Dear Customer, Autopay on your HDFC Bank credit card ending 2606 is successfully registered to SB a/c ending 0559 through netbanking"
REPAY,REQUEST,ADHDFCBK,"Dear Cardmember, we have processed your Insta Jumbo  loan request for Rs. ***375000.00 payable in *60 EMIs *1.63000 % ROI pm"
REPAY,INFO,AX-HDFCBK,"HDFC Bank Cardmember, Your Credit Card ending 6126 will be automatically de-activated on usage of your new card or by 04/AUG/2021, whichever is earlier"
REPAY,INFO,AX-HDFCBK,"HDFC Bank Customer, Your first EMI will also include a Convenience Fee of Rs. 199/- Plus GST debited from your account for a Debit Card EMI Loan availed by you"
REPAY,INFO,MDHDFCBK,"HDFC Bank Cardmember, Your Credit Card ending 1103 will be automatically de-activated on usage of your new card or by 04/AUG/2021, whichever is earlier"
REPAY,PAY,BP-iPaytm,Your Rent Payment of Rs 2400 has been successfully transferred via paytm to your Recipient's account.
REPAY,PAY,BP-iPaytm,Your Rent Payment of Rs 500 has been successfully transferred via paytm to your Recipient's account.
REPAY,PAY,BP-iPaytm,Your Rent Payment of Rs 2500 has been successfully transferred via paytm to your Recipient's account.
REPAY,INFO,AX-HDFCBK,Your pre-approved EMI limit on HDFC Bank Debit Card  is Rs.15000. Please try again with a lower limit.
REPAY,PAY,BP-iPaytm,Your Rent Payment of Rs 2000 has been successfully transferred via paytm to your Recipient's account.
REPAY,PAY,BP-iPaytm,Your Rent Payment of Rs 533 has been successfully transferred via paytm to your Recipient's account.
REPAY,PAY,BP-iPaytm,Your Rent Payment of Rs 16000 has been successfully transferred via paytm to your Recipient's account.
REPAY,DECLINE,VM-HDFCBK,Payment Failed! Your South Bihar Power bill payment against 101790317 of Rs. 1627.00 was not processed. Please try again via Net/MobileBanking App.
REPAY,PAY,BP-iPaytm,Your Rent Payment of Rs 16000 has been successfully transferred via paytm to your Recipient's account.
REPAY,INFO,AD-AxisBk,"Dear Customer, Overlimit Fee of Rs 579.02+service tax levied on credit card 4653 in SEP-2020 has been reversed on 12/11/20. Thank You."
WITHDRAWAL,INFO,AD-PAYTMB,"Dear SONU KUMAR, you have successfully changed ATM pin for your Debit & ATM card 6080-32XX-XXXX-7383. Queries? Call 01204456456 :PPBL"
WITHDRAWAL,INFO,BZ-ATMSBI,"Dear SBI Customer, Balance Enquiry done from A/cX7252 at SBI ATM T1NW000238042 on 05Jun21. Transaction Number 3389. If not done by you, forward this SMS to 9223008333 / call 1800111109 or 09449112211 to block your card. Download YONO sbi. Please use SBI ATMs for better security."
WITHDRAWAL,WITHDRAWAL,BP-PAYTMB,Rs.1000.00 withdrawn at 3 CD SHALIMAR GARDEN B on 06-06-2021 using Debit Card. Avl Bal:Rs.245.27. RefNo. 115712017443. Queries? http://m.p-y.tm/care :PPBL
WITHDRAWAL,WITHDRAWAL,BX-ATMSBI,/9449112211 to block card.
WITHDRAWAL,INFO,BZ-ATMSBI,"Dear SBI Customer, Balance Enquiry done from A/cX6526 at BOB ATM 5DEN0984 on 06Jun21. Transaction Number 115709011165. If not done by you, forward this SMS to 9223008333 / call 1800111109 or 09449112211 to block your card. Download YONO sbi. Please use SBI ATMs for better security."
WITHDRAWAL,WITHDRAWAL,BPPAYTMB,Rs.500.00 withdrawn at TAGARAPVL VISAKHAPATNA on 16-02-2021 using Debit Card. Avl Bal:Rs.500.56. RefNo. 104717006489. Queries? http://m.p-y.tm/care :PPBL
WITHDRAWAL,INFO,BX-ATMSBI,"Dear SBI Customer, Mini Statement taken from A/cX5883 at WBA ATM 40556702 on 06Jun21. Transaction Number 115707008034. If not done by you, forward this SMS to 9223008333 / call 1800111109 or 09449112211 to block your card. Download YONO SBI. Please use SBI ATMs for better security."
WITHDRAWAL,INFO,BX-ATMSBI,"Dear SBI Customer, Balance Enquiry done from A/cX3338 at CUB ATM CUB01846 on 28Apr21. Transaction Number 111812097661. If not done by you, forward this SMS to 9223008333 / call 1800111109 or 09449112211 to block your card. Download YONO sbi. Please use SBI ATMs for better security."
WITHDRAWAL,ACTIVATE,AD-CANBNK,"Card ending 6360:Card usage at ATM/POS only is enabled as per RBI guidelines.Pl enable online/intnl usage through Net/Mobile Banking, ATM & Br.-Canara Bank"
WITHDRAWAL,WITHDRAWAL,BV-ATMSBI,"Dear SBI Customer, Yono Cash Rs 2000 w/d!SBI ATM S1NB021103002 fm A/cX5084 on 06Jun21 Ref#966927 If not done by u fwd this SMS to 9223008333 to block user id or call 1800111109"
WITHDRAWAL,WITHDRAWAL,BX-ATMSBI,"Dear SBI Customer, Rs.5000 withdrawn at   ATM DOPN0870 from A/cX0006 on 05Apr21 Transaction Number 109512507290. Available Balance Rs.16159. If not withdrawn by you, forward this SMS to 9223008333 / call 1800111109 or 09449112211 to block your card. Download YONO SBI. Use SBI ATMs."
WITHDRAWAL,INFO,BZ-ATMSBI,"Dear SBI Customer, Balance Enquiry done from A/cX4675 at HDF ATM S1AWPB27 on 17Apr21. Transaction Number 110710006233. If not done by you, forward this SMS to 9223008333 / call 1800111109 or 09449112211 to block your card. Download YONO sbi. Please use SBI ATMs for better security."
WITHDRAWAL,INFO,BX-ATMSBI,"Dear SBI Customer, Balance Enquiry done from A/cX7732 at HDF ATM P3CNBM01 on 01Jun21. Transaction Number 115213005223. If not done by you, forward this SMS to 9223008333 / call 1800111109 or 09449112211 to block your card. Download YONO sbi. Please use SBI ATMs for better security."
WITHDRAWAL,WITHDRAWAL,BP-PAYTMB,Rs.2000.00 withdrawn at VIVEKANAND CHOUK DUNDI on 30-05-2021 using Debit Card. Avl Bal:Rs.684.12. RefNo. 115015002737. Queries? http://m.p-y.tm/care :PPBL
WITHDRAWAL,PROMO,AD-SBIBNK,"Dear SBI Customer, Call 1800- 112211 / 4253800 from registered mobile. Get Balance and last 5 transactions, Generate ATM PIN, Block/ Reissue your SBI ATM Card."
WITHDRAWAL,PROMO,VM-SBIBNK,"Dear SBI Customer, Call 1800- 112211 / 4253800 from registered mobile. Get Balance and last 5 transactions, Generate ATM PIN, Block/ Reissue your SBI ATM Card."
WITHDRAWAL,WITHDRAWAL,BZ-ATMSBI,"Dear SBI Customer, Yono Cash Rs 10000 w/d@SBI ATM S1NB005643002 fm A/cX2955 on 06Jun21 Ref#824108 If not done by u fwd this SMS to 9223008333 to block user id or call 1800111109"
WITHDRAWAL,PROMO,AD-SBIBNK,"Dear SBI Customer, Call 1800- 112211 / 4253800 from registered mobile. Get Balance and last 5 transactions, Generate ATM PIN, Block/ Reissue your SBI ATM Card."
WITHDRAWAL,INFO,BP-ATMSBI,"Dear SBI Customer, Balance Enquiry done from A/cX4036 at SBI ATM S1BW000004074 on 07May21. Transaction Number 664. If not done by you, forward this SMS to 9223008333 / call 1800111109 or 09449112211 to block your card. Download YONO sbi. Please use SBI ATMs for better security."
WITHDRAWAL,WITHDRAWAL,BP-PAYTMB,Rs.500.00 withdrawn at +Nethaji NAGAR Main Ro on 29-03-2021 using Debit Card. Avl Bal:Rs.139.34. RefNo. 108819008912. Queries? http://m.p-y.tm/care :PPBL
DECLINE,DECLINE,BP-PAYTMB,"Insufficient Balance: Cash withdrawal of Rs.1000.00 failed due to insufficient balance. Available balance: Rs.132.12, Queries? Call 0120-4456456: PPBL"
DECLINE,DECLINE,BZ-ATMSBI,"Dear SBI customer, your transaction at POS 44041889 has been declined due to insufficient fund in your account."
DECLINE,DECLINE,TM-CANBNK,"Card ending 0379:Dear Cardholder, Transaction declined as it exceeded the per day limit set. Please verify the per day limit set for the card.-Canara Bank"
DECLINE,DECLINE,BX-ATMSBI,"Dear SBI Customer, transaction dated 05-Jun-21 19:03:44 through card ending 1117 has been declined due to INSUFFICIENT FUNDS."
DECLINE,DECLINE,QP-CANBNK,Card ending 9533:Your txn is declined at ATM due to Non EMV txn. Contact your branch for assistance.
DECLINE,DECLINE,AD-CANBNK,"Dear Customer, Your UPI transaction was declined due to number of PIN tries exceeded. Kindly reset your UPI PIN using your debit card details. Please do not share Debit Card details/OTP with anyone.-Canara Bank"
DECLINE,INFO,BZ-CBSSBI,"Dear Customer, HOLD has been placed on your Acc XXXXX919403 for 15,000.00 for the reason e MUDRA.-SBI"
DECLINE,DECLINE,BPPAYTMB,Your debit transaction request of Rs. 282.00 against mandate no. PYTM0000000000178850 issued to DHANILOANS&SERVICES could not be processed due to insufficient bal in your A/C. :PPBL
DECLINE,DECLINE,AX-BOBSMS,Your Debit Card transaction for INR  is declined due to insufficient funds. Not you? Please call Toll Free 18002584455 / 18001024455 - Bank of Baroda
DECLINE,DECLINE,VM-HDFCBK,Please note that your attempt for resetting your IPIN online using HDFC Bank's NetBanking services has failed since Password should contain atleast 1 alphabets characters.
DECLINE,DECLINE,CP-CANBNK,Card ending 4682:Transaction declined due to wrong CVV. Pl use correct CVV(3 digit number printed near the signature panel on backside of card).
DECLINE,DECLINE,BX-ATMSBI,"Dear SBI customer, your transaction at POS 00248745 has been declined due to insufficient fund in your account."
DECLINE,ACTIVATE,AD-AxisBk,Your Debit Card ending 9265 has been Activated. To know more please visit your nearest branch or call customer care at 1860 500 5555
DECLINE,DECLINE,BZ-ATMSBI,"Dear SBI Customer, transaction dated 05-Jun-21 16:40:42 through card ending 1065 has been declined due to INSUFFICIENT FUNDS."
DECLINE,DECLINE,BPPAYTMB,Your debit transaction request of Rs. 6814.98 against mandate no. PYTM7010910200003747 issued to TP EMANDATE CAPFLOAT could not be processed due to insufficient bal in your A/C. :PPBL
DECLINE,DECLINE,BP-iPaytm,Your request of AePS cash withdrawal for amount 5000 is failed. Download receipt at https://k.p-y.tm/6u6cU2gX. Queries? Call 0120-4456456 :PPBL 
DECLINE,DECLINE,VK-ICICIB,"Dear Customer, fund transfer request of Rs 6,050.00 on 06-Jun-21 is declined as beneficiary acct no./IFSC is invalid. IMPS 115709462399-ICICI Bank."
